season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_mc,delta_u,dpts,both60,tie_pts,mc_pref_enter,u_pref_enter,actual_pref_enter,ctrl_mu_gap,gap_bucket,v_ctrl,v_swap
2022-23,FAIL,36,DEF,16,Gabriel,366,Schär,-2.26,-2.726,-1.0,1,0,0,0,0,2.726,large,54.0361,51.7761
2022-23,FAIL,36,DEF,39,Mings,366,Schär,-2.2799,-2.8924,0.0,1,1,0,0,0,2.8924,large,54.0361,51.7562
2023-24,PASS,1,MID,294,Diogo J.,396,Rashford,0.4822,0.548,-2.0,1,0,1,1,0,0.5552,mid,32.9193,33.4016
2023-24,PASS,1,MID,294,Diogo J.,14,Ødegaard,0.7836,0.8904,-1.0,1,0,1,1,0,0.4596,mid,32.9193,33.7029
2023-24,PASS,1,MID,26,Trossard,396,Rashford,0.1588,0.1804,-2.0,0,0,1,1,0,0.5024,mid,32.9193,33.0781
2023-24,PASS,1,MID,26,Trossard,14,Ødegaard,0.4601,0.5228,-1.0,0,0,1,1,0,0.4068,mid,32.9193,33.3794
2023-24,PASS,1,DEF,245,Branthwaite,834,Arthur,0.0199,0.1656,0.0,0,1,1,1,0,0.0752,near,32.9193,32.9392
2023-24,PASS,1,DEF,245,Branthwaite,845,Offiah,0.0201,0.1672,0.0,0,1,1,1,0,0.0736,near,32.9193,32.9394
2023-24,PASS,2,DEF,366,Sergio Gómez,368,Stones,-0.2373,-1.552,0.0,0,1,0,0,0,1.7752,large,34.6754,34.4381
2023-24,PASS,2,FWD,232,Mateta,355,Haaland,-1.3083,-2.6972,-2.0,0,0,0,0,0,3.3376,large,34.6754,33.3671
2023-24,PASS,2,FWD,433,Wilson,355,Haaland,-0.5319,-0.6044,-1.0,0,0,0,0,0,1.4488,large,34.6754,34.1435
2023-24,PASS,3,DEF,766,Kambwala,198,Cucurella,-0.9294,-1.4876,0.0,0,1,0,0,0,1.4984,large,31.984,31.0546
2023-24,PASS,3,DEF,766,Kambwala,204,Hall,-0.06,-0.4996,0.0,0,1,0,0,0,0.4996,mid,31.984,31.924
2023-24,PASS,3,FWD,232,Mateta,355,Haaland,-0.9635,-2.248,-3.0,0,0,0,0,0,2.752,large,31.984,31.0205
2023-24,PASS,3,FWD,232,Mateta,8,G.Jesus,-0.8347,-2.1016,0.0,0,1,0,0,0,2.2372,large,31.984,31.1493
2023-24,PASS,3,FWD,433,Wilson,355,Haaland,0.3179,0.3612,-3.0,0,0,1,1,0,0.6296,mid,31.984,32.3018
