season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2023-24,3,entered,195,Chilwell,DEF,0.45,1.7568,2.4056,0.6488,1,85.0,0,6
2023-24,3,entered,308,Salah,MID,0.72,3.5804,4.1224,0.542,1,90.0,0,5
2023-24,3,entered,294,Diogo J.,MID,0.72,2.6016,3.7508,1.1492,1,32.0,0,4
2023-24,4,left,259,McNeil,MID,0.82,2.8332,2.8332,0.0,1,15.0,0,1
2023-24,4,entered,293,Darwin,FWD,0.72,2.4616,3.1396,0.678,1,64.0,0,8
2023-24,5,left,226,Eze,MID,0.72,3.0572,3.1976,0.1404,1,90.0,0,1
2023-24,5,left,355,Haaland,FWD,0.72,3.9528,3.6936,-0.2592,1,90.0,0,6
2023-24,5,left,396,Rashford,MID,0.72,3.236,3.4104,0.1744,1,90.0,0,2
2023-24,5,left,439,Boly,DEF,0.72,2.4292,2.3512,-0.078,1,0.0,1,0
2023-24,5,left,504,Maddison,MID,0.72,3.3576,3.3576,0.0,0,90.0,0,1
2023-24,5,left,511,Romero,DEF,0.72,2.4416,2.4684,0.0268,1,90.0,0,2
2023-24,5,entered,195,Chilwell,DEF,0.72,2.4144,3.1036,0.6892,1,10.0,0,0
2023-24,5,entered,294,Diogo J.,MID,0.72,2.706,3.884,1.178,1,55.0,0,1
2023-24,5,entered,13,Nketiah,FWD,0.72,2.0704,3.154,1.0836,1,65.0,0,2
2023-24,5,entered,430,Trippier,DEF,0.72,2.4448,2.764,0.3192,1,90.0,0,8
2023-24,5,entered,526,Bowen,MID,0.72,3.04,3.658,0.618,1,90.0,0,2
2023-24,5,entered,308,Salah,MID,0.72,3.4688,3.9252,0.4564,1,90.0,0,10
2023-24,6,left,664,Ward-Prowse,MID,0.72,2.8892,2.8892,0.0,0,90.0,0,2
2023-24,6,left,234,Mitchell,DEF,0.72,2.7112,2.6868,-0.0244,1,90.0,0,5
2023-24,6,left,355,Haaland,FWD,0.72,4.7536,4.4948,-0.2588,1,90.0,0,6
2023-24,6,entered,433,Wilson,FWD,0.72,2.9392,3.3856,0.4464,1,69.0,0,6
2023-24,6,entered,516,Son,MID,0.72,3.2392,3.6272,0.388,1,78.0,0,14
2023-24,6,entered,293,Darwin,FWD,0.72,2.6076,3.1408,0.5332,1,80.0,0,6
2023-24,7,left,355,Haaland,FWD,0.72,4.4984,4.262,-0.2364,1,90.0,0,2
2023-24,7,left,220,Andersen,DEF,0.72,2.8,2.8436,0.0436,1,90.0,0,15
2023-24,7,left,165,Cullen,MID,0.72,3.4092,3.4092,0.0,0,180.0,0,4
2023-24,7,entered,433,Wilson,FWD,0.72,3.4888,3.9852,0.4964,1,0.0,1,0
2023-24,7,entered,506,Pedro Porro,DEF,0.72,2.5028,3.1648,0.662,1,90.0,0,7
2023-24,7,entered,526,Bowen,MID,0.72,3.4852,4.0524,0.5672,1,90.0,0,9
2023-24,8,left,281,Ream,DEF,0.72,2.858,2.7268,-0.1312,1,90.0,0,2
2023-24,8,left,326,Morris,FWD,0.72,3.2032,3.2032,0.0,0,90.0,0,1
2023-24,8,left,14,Ødegaard,MID,0.72,3.6916,3.5988,-0.0928,1,90.0,0,3
2023-24,8,entered,13,Nketiah,FWD,0.72,2.3892,3.5068,1.1176,1,74.0,0,2
2023-24,8,entered,228,Guéhi,DEF,0.72,2.8008,2.882,0.0812,1,90.0,0,9
2023-24,8,entered,516,Son,MID,0.72,3.6804,4.1024,0.422,1,75.0,0,3
2023-24,9,left,584,Pau,DEF,0.72,2.778,2.778,0.0,0,90.0,0,2
2023-24,9,left,355,Haaland,FWD,0.72,4.8388,4.6744,-0.1644,1,90.0,0,8
2023-24,9,left,220,Andersen,DEF,0.72,2.8584,2.8144,-0.044,1,90.0,0,0
2023-24,9,left,439,Boly,DEF,0.72,2.8488,2.8268,-0.022,1,77.0,0,6
2023-24,9,entered,433,Wilson,FWD,0.72,3.2484,3.8596,0.6112,1,69.0,0,6
2023-24,9,entered,506,Pedro Porro,DEF,0.72,2.8408,3.4464,0.6056,1,90.0,0,6
2023-24,9,entered,307,Robertson,DEF,0.72,2.7188,3.1172,0.3984,1,0.0,1,0
