season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,22,MID,135,Ziyech,7,Ødegaard,-1.0236,-0.6112,-1.0,0,0,0,0,0,0,14,11.0,10.0,34.574,33.5504,23.0,25.0
2022-23,FAIL,23,DEF,257,Amartey,73,Kelly,0.0,-0.0844,0.0,0,1,0,0,0,0,4,1.0,1.0,40.672,40.672,21.0,21.0
2022-23,FAIL,23,DEF,257,Amartey,16,Gabriel,0.4732,-2.6912,-3.0,0,0,1,0,0,1,20,5.0,5.0,40.672,41.1452,21.0,15.0
2022-23,FAIL,23,DEF,257,Amartey,470,Diop,0.0,-0.1644,-6.0,0,0,0,0,0,0,4,1.0,1.0,40.672,40.672,21.0,21.0
2022-23,FAIL,23,DEF,463,Coufal,73,Kelly,0.0,-0.2456,1.0,0,0,0,0,1,0,4,1.0,0.0,40.672,40.672,21.0,21.0
2022-23,FAIL,23,DEF,463,Coufal,16,Gabriel,0.4732,-2.8524,-2.0,1,0,1,0,0,1,20,5.0,4.0,40.672,41.1452,21.0,15.0
2022-23,FAIL,23,DEF,463,Coufal,470,Diop,0.0,-0.3256,-5.0,1,0,0,0,0,0,4,1.0,0.0,40.672,40.672,21.0,21.0
2022-23,FAIL,23,DEF,222,Ayling,16,Gabriel,0.4732,-2.5576,-2.0,1,0,1,0,0,1,20,5.0,4.0,40.672,41.1452,21.0,15.0
2022-23,FAIL,23,MID,171,Olise,335,Rashford,-0.8896,-0.4016,-6.0,1,0,0,0,0,0,10,9.0,7.0,40.672,39.7824,21.0,22.0
2022-23,FAIL,24,MID,42,Buendía,7,Ødegaard,-1.1896,-0.2148,-6.0,1,0,0,0,0,0,17,10.0,8.0,30.9752,29.7856,5.0,7.0
2022-23,FAIL,24,MID,42,Buendía,333,Fernandes,-0.2052,-0.2304,-10.0,1,0,0,0,0,0,22,10.0,8.0,30.9752,30.77,5.0,5.0
2022-23,FAIL,24,MID,446,Kulusevski,333,Fernandes,-0.1004,-0.1004,-9.0,1,0,0,0,0,0,22,10.0,7.0,30.9752,30.8748,5.0,5.0
2022-23,FAIL,25,DEF,222,Ayling,285,Alexander-Arnold,0.838,-2.6992,-7.0,1,0,1,0,0,1,21,24.0,18.0,40.7424,41.5804,35.0,29.0
2022-23,FAIL,26,FWD,262,Iheanacho,318,Haaland,0.0328,-0.4672,-2.0,1,0,1,0,0,1,21,13.0,11.0,30.6148,30.6476,10.0,9.0
2022-23,FAIL,26,FWD,394,Johnson,318,Haaland,-0.2288,-1.0704,9.0,1,0,0,0,1,0,21,13.0,0.0,30.6148,30.386,10.0,9.0
2022-23,FAIL,27,FWD,11,Nketiah,427,Kane,0.0,-0.206,-13.0,0,0,0,0,0,0,18,9.0,9.0,38.0972,38.0972,35.0,35.0
2022-23,FAIL,27,FWD,11,Nketiah,95,Mbeumo,0.8964,-1.134,-4.0,0,0,1,0,0,1,18,9.0,9.0,38.0972,38.9936,35.0,32.0
