season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,6,356,Wilson,FWD,480,Neves,MID,0.5612,-2.0,3.3292,2.768,0.0,2.0,0.0,90.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,356,Wilson,FWD,288,Diogo Jota,FWD,0.5,-1.0,3.3292,2.8292,0.0,1.0,0.0,10.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,356,Wilson,FWD,516,Collins,DEF,0.7308,-9.0,3.3292,2.5984,0.0,9.0,0.0,90.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,356,Wilson,FWD,104,Groß,MID,0.218,-5.0,3.3292,3.1112,0.0,5.0,0.0,90.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,356,Wilson,FWD,106,Dunk,DEF,0.6692,-1.0,3.3292,2.66,0.0,1.0,0.0,90.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,356,Wilson,FWD,427,Kane,FWD,-0.2464,-9.0,3.3292,3.5756,0.0,9.0,0.0,77.0,0.7308,0,0,0,0,0
2022-23,FAIL,6,356,Wilson,FWD,210,Mitrović,FWD,0.6496,-5.0,3.3292,2.6796,0.0,5.0,0.0,90.0,0.7308,0,0,1,0,0
2022-23,FAIL,6,261,Maddison,MID,480,Neves,MID,0.6556,0.0,3.4236,2.768,2.0,2.0,90.0,90.0,1.0744,1,1,1,0,1
2022-23,FAIL,6,261,Maddison,MID,288,Diogo Jota,FWD,0.5944,1.0,3.4236,2.8292,2.0,1.0,90.0,10.0,1.0744,0,1,1,1,0
2022-23,FAIL,6,261,Maddison,MID,516,Collins,DEF,0.8252,-7.0,3.4236,2.5984,2.0,9.0,90.0,90.0,1.0744,1,1,1,0,0
2022-23,FAIL,6,261,Maddison,MID,104,Groß,MID,0.3124,-3.0,3.4236,3.1112,2.0,5.0,90.0,90.0,1.0744,1,1,1,0,0
2022-23,FAIL,6,261,Maddison,MID,106,Dunk,DEF,0.7636,1.0,3.4236,2.66,2.0,1.0,90.0,90.0,1.0744,1,1,1,1,0
2022-23,FAIL,6,261,Maddison,MID,427,Kane,FWD,-0.152,-7.0,3.4236,3.5756,2.0,9.0,90.0,77.0,1.0744,1,1,0,0,0
2022-23,FAIL,6,261,Maddison,MID,210,Mitrović,FWD,0.744,-3.0,3.4236,2.6796,2.0,5.0,90.0,90.0,1.0744,1,1,1,0,0
2022-23,FAIL,6,357,Trippier,DEF,480,Neves,MID,0.9236,6.0,3.6916,2.768,8.0,2.0,90.0,90.0,1.3584,1,1,1,1,0
2022-23,FAIL,6,357,Trippier,DEF,288,Diogo Jota,FWD,0.8624,7.0,3.6916,2.8292,8.0,1.0,90.0,10.0,1.3584,0,1,1,1,0
2022-23,FAIL,6,357,Trippier,DEF,516,Collins,DEF,1.0932,-1.0,3.6916,2.5984,8.0,9.0,90.0,90.0,1.3584,1,1,1,0,0
2022-23,FAIL,6,357,Trippier,DEF,104,Groß,MID,0.5804,3.0,3.6916,3.1112,8.0,5.0,90.0,90.0,1.3584,1,1,1,1,0
2022-23,FAIL,6,357,Trippier,DEF,106,Dunk,DEF,1.0316,7.0,3.6916,2.66,8.0,1.0,90.0,90.0,1.3584,1,1,1,1,0
2022-23,FAIL,6,357,Trippier,DEF,427,Kane,FWD,0.116,-1.0,3.6916,3.5756,8.0,9.0,90.0,77.0,1.3584,1,1,1,0,0
2022-23,FAIL,6,357,Trippier,DEF,210,Mitrović,FWD,1.012,3.0,3.6916,2.6796,8.0,5.0,90.0,90.0,1.3584,1,1,1,1,0
2022-23,FAIL,6,303,Mahrez,MID,480,Neves,MID,1.6172,-1.0,4.3852,2.768,1.0,2.0,17.0,90.0,1.8184,0,1,1,0,0
2022-23,FAIL,6,303,Mahrez,MID,288,Diogo Jota,FWD,1.556,0.0,4.3852,2.8292,1.0,1.0,17.0,10.0,1.8184,0,1,1,0,1
2022-23,FAIL,6,303,Mahrez,MID,516,Collins,DEF,1.7868,-8.0,4.3852,2.5984,1.0,9.0,17.0,90.0,1.8184,0,1,1,0,0
2022-23,FAIL,6,303,Mahrez,MID,104,Groß,MID,1.274,-4.0,4.3852,3.1112,1.0,5.0,17.0,90.0,1.8184,0,1,1,0,0
2022-23,FAIL,6,303,Mahrez,MID,106,Dunk,DEF,1.7252,0.0,4.3852,2.66,1.0,1.0,17.0,90.0,1.8184,0,1,1,0,1
2022-23,FAIL,6,303,Mahrez,MID,427,Kane,FWD,0.8096,-8.0,4.3852,3.5756,1.0,9.0,17.0,77.0,1.8184,0,1,1,0,0
2022-23,FAIL,6,303,Mahrez,MID,210,Mitrović,FWD,1.7056,-4.0,4.3852,2.6796,1.0,5.0,17.0,90.0,1.8184,0,1,1,0,0
