season,e024_gate,gw,movement,player_id,web_name,position,season_minutes,recent4_minutes,q,ctrl_mu,treat_mu,packaged_u,mu_delta,had_club_prior,new_club,was_ctrl_captain,was_treat_captain,actual_minutes,blank,actual_points,decision_utility
2022-23,FAIL,23,entered,171,Olise,MID,1286,367,1.0,2.5068,2.8468,2.8468,0.34,1,0,0,0,83.0,0,2.0,2.8468
2022-23,FAIL,23,entered,222,Ayling,DEF,698,450,1.0,2.488,2.8272,2.8272,0.3392,1,1,0,0,90.0,0,1.0,2.8272
2022-23,FAIL,23,entered,446,Kulusevski,MID,1054,355,1.0,2.6152,3.3008,3.3008,0.6856,1,1,0,0,78.0,0,2.0,3.3008
2022-23,FAIL,23,entered,15,Ramsdale,GKP,1800,360,1.0,6.2316,6.2316,6.2316,0.0,1,0,0,0,180.0,0,3.0,6.2316
2022-23,FAIL,24,left,92,Pinnock,DEF,1260,360,1.0,2.6452,2.67,2.67,0.0248,1,1,0,0,90.0,0,2.0,2.67
2022-23,FAIL,24,left,333,Fernandes,MID,1979,540,1.0,2.806,2.806,2.806,0.0,1,1,0,0,90.0,0,12.0,2.806
2022-23,FAIL,24,left,7,Ødegaard,MID,1778,436,1.0,2.7904,2.7904,2.7904,0.0,1,0,0,0,90.0,0,8.0,2.7904
2022-23,FAIL,24,entered,128,Thiago Silva,DEF,1793,360,1.0,2.6776,2.6776,2.6776,0.0,1,0,0,0,0.0,1,0.0,2.6776
2022-23,FAIL,24,entered,11,Nketiah,FWD,861,450,1.0,2.6724,3.188,3.188,0.5156,1,0,0,0,90.0,0,2.0,3.188
2022-23,FAIL,24,entered,446,Kulusevski,MID,1132,433,1.0,2.7056,3.4444,3.4444,0.7388,1,1,0,0,89.0,0,3.0,3.4444
2022-23,FAIL,25,left,285,Alexander-Arnold,DEF,1619,288,1.0,5.29,5.5112,5.5112,0.2212,1,1,0,0,159.0,0,13.0,5.5112
2022-23,FAIL,25,entered,288,Diogo Jota,FWD,246,51,0.5667,5.1048,6.9796,6.1672,1.8748,1,1,0,0,145.0,0,7.0,6.1672
2022-23,FAIL,26,left,124,Mitoma,MID,1014,270,1.0,2.9028,2.9028,2.9028,0.0,0,1,0,0,82.0,0,13.0,2.9028
