season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,26,FWD,394,Johnson,318,Haaland,3.0,-15.0,-15.0,-18.0,1,1.3313,0.6823,68.0,71.0,53.0,13.0,4.0,9.0
2022-23,FAIL,27,FWD,11,Nketiah,427,Kane,0.0,2.0,2.0,2.0,1,0.1436,0.0247,75.0,75.0,77.0,0.0,13.0,-13.0
2022-23,FAIL,27,FWD,11,Nketiah,95,Mbeumo,2.0,2.0,2.0,0.0,0,0.7137,0.5948,75.0,77.0,77.0,0.0,4.0,-4.0
2022-23,FAIL,27,FWD,262,Iheanacho,427,Kane,0.0,2.0,2.0,2.0,1,0.0743,0.0077,75.0,75.0,77.0,2.0,13.0,-11.0
2022-23,FAIL,27,FWD,262,Iheanacho,95,Mbeumo,-2.0,2.0,2.0,4.0,1,0.2869,0.873,75.0,73.0,77.0,2.0,4.0,-2.0
2022-23,FAIL,28,MID,45,Bailey,233,Harrison,0.0,0.0,0.0,0.0,0,0.0,0.0218,41.0,41.0,41.0,6.0,9.0,-3.0
2022-23,FAIL,29,DEF,256,Ricardo,342,Dalot,8.0,-4.0,-4.0,-12.0,1,0.1651,0.7898,81.0,89.0,77.0,8.0,7.0,1.0
2022-23,FAIL,29,MID,464,Benrahma,233,Harrison,-10.0,-4.0,-4.0,6.0,0,0.3347,0.3135,81.0,71.0,77.0,5.0,10.0,-5.0
2022-23,FAIL,30,DEF,256,Ricardo,280,Van Dijk,1.0,1.0,1.0,0.0,0,0.1292,0.5885,49.0,50.0,50.0,1.0,0.0,1.0
2022-23,FAIL,30,DEF,256,Ricardo,92,Pinnock,1.0,1.0,1.0,0.0,0,0.0973,0.5566,49.0,50.0,50.0,1.0,1.0,0.0
2022-23,FAIL,30,DEF,180,Keane,280,Van Dijk,5.0,1.0,1.0,-4.0,0,0.383,0.1516,49.0,54.0,50.0,1.0,0.0,1.0
