season,e024_gate,candidate,gw,role,n_enter,n_exit,n_pos_touched,n_unpaired_enter,n_unpaired_exit,flex_flag,budget_delta,n_squad_changes,cap_ctrl,cap_cand,cap_delta,g_treat,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_cand_u,enter_cand_mu,enter_ctrl_mu,enter_cost,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_cand_u,exit_mins,exit_pts,du_cand,paired,blank_enter,primary_harm,primary_mover_id
2022-23,FAIL,v1_adxg,35,companion,3,3,2,0,0,1,16,5,64.0,61.0,-3.0,0.5443,0,1,1,586,Estupiñán,DEF,3.3612,3.3612,3.1956,49,90.0,0.0,366,Schär,DEF,3.086,90.0,-2.0,0.2752,1,0,0,303
2022-23,FAIL,v1_adxg,36,companion,2,2,3,1,1,1,-20,2,101.0,90.0,-11.0,0.0915,1,1,0,104,Groß,MID,5.546,5.546,5.676,54,158.0,6.0,,,,,,,,0,0,0,342
2022-23,FAIL,v1_adxg,36,primary,2,2,3,1,1,1,-20,2,101.0,90.0,-11.0,0.0915,1,1,0,342,Dalot,DEF,3.5984,3.5984,3.4056,48,0.0,0.0,586,Estupiñán,DEF,5.2064,180.0,17.0,-1.608,1,1,0,342
2022-23,FAIL,v1_adxg,38,primary,1,1,1,0,0,0,-7,2,38.0,33.0,-5.0,0.0836,1,1,0,355,Dubravka,GKP,3.5652,3.5652,3.6448,41,90.0,3.0,81,Raya,GKP,3.4888,90.0,6.0,0.0764,1,0,0,355
2023-24,PASS,v1_adxg,1,companion,5,5,3,0,0,1,5,6,60.0,50.0,-10.0,0.266,0,1,1,6,Havertz,MID,3.0296,3.0296,2.8388,75,90.0,2.0,396,Rashford,MID,3.3196,87.0,3.0,-0.29,1,0,0,349
2023-24,PASS,v1_adxg,1,companion,5,5,3,0,0,1,5,6,60.0,50.0,-10.0,0.266,0,1,1,29,White,DEF,1.8528,1.8528,1.69,55,90.0,1.0,206,James,DEF,1.6604,75.0,2.0,0.1924,1,0,0,349
2023-24,PASS,v1_adxg,1,companion,5,5,3,0,0,1,5,6,60.0,50.0,-10.0,0.266,0,1,1,263,Pickford,GKP,3.2184,3.2184,3.1592,45,90.0,2.0,77,Neto,GKP,3.1724,90.0,2.0,0.046,1,0,0,349
2023-24,PASS,v1_adxg,1,primary,5,5,3,0,0,1,5,6,60.0,50.0,-10.0,0.266,0,1,1,349,De Bruyne,MID,3.658,3.658,3.3796,105,22.0,1.0,14,Ødegaard,MID,3.288,90.0,2.0,0.37,1,0,0,349
2023-24,PASS,v1_adxg,1,companion,5,5,3,0,0,1,5,6,60.0,50.0,-10.0,0.266,0,1,1,350,Rúben,DEF,1.7584,1.7584,1.4848,55,0.0,0.0,195,Chilwell,DEF,1.7028,89.0,7.0,0.0556,1,1,1,349
2023-24,PASS,v1_adxg,2,primary,3,3,2,0,0,1,-3,3,30.0,36.0,6.0,0.3051,2,1,0,19,Saka,MID,3.494,3.494,3.2344,86,88.0,3.0,504,Maddison,MID,2.802,90.0,3.0,0.692,1,0,0,19
2023-24,PASS,v1_adxg,2,companion,3,3,2,0,0,1,-3,3,30.0,36.0,6.0,0.3051,2,1,0,28,Turner,GKP,3.6948,3.6948,3.6524,40,90.0,2.0,546,Bentley,GKP,3.552,0.0,0.0,0.1428,1,0,0,19
