season,cap_gate,gw,movement,player_id,web_name,position,club_transition,n_comp,recent4,demotion,demoted,ctrl_p_start,treat_p_start,p_start_delta,ctrl_mu,treat_mu,actual_minutes,blank,actual_points
2024-25,FAIL,3,left,182,Palmer,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,4.1632,2.9548,90.0,0,6.0
2024-25,FAIL,3,entered,360,Rodrigo,MID,0,0,0,none,0,0.85,0.85,0.0,3.1628,3.1628,0.0,1,0.0
2024-25,FAIL,3,entered,122,Estupiñan,DEF,0,0,0,none,0,0.48,0.48,0.0,1.8268,1.8268,18.0,0,1.0
2024-25,FAIL,3,entered,13,Ødegaard,MID,0,0,0,none,0,0.72,0.72,0.0,2.9044,2.9044,73.0,0,2.0
2024-25,FAIL,4,left,755,Marmoush,FWD,1,2,0,cap_0.48,1,0.72,0.48,-0.24,2.4656,1.7528,0.0,1,0.0
2024-25,FAIL,4,left,636,Chiesa,MID,1,4,0,cap_0.48,1,0.72,0.48,-0.24,2.65,1.9024,0.0,1,0.0
2024-25,FAIL,4,entered,82,Solanke,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,2.4124,2.4124,90.0,0,2.0
2024-25,FAIL,4,entered,316,Darwin,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,2.4456,2.4456,30.0,0,1.0
2024-25,FAIL,18,left,328,M.Salah,MID,1,3,266,cap_0.48,1,0.68,0.48,-0.2,5.356,3.9528,90.0,0,9.0
2024-25,FAIL,18,left,71,Kluivert,MID,0,0,281,none,0,0.72,0.72,0.0,3.3696,3.3696,71.0,0,2.0
2024-25,FAIL,18,entered,17,Saka,MID,0,0,293,none,0,0.72,0.72,0.0,4.3772,4.3772,0.0,1,0.0
2024-25,FAIL,18,entered,366,B.Fernandes,MID,0,0,345,none,0,0.72,0.72,0.0,3.6252,3.6252,46.0,0,-2.0
2024-25,FAIL,19,left,328,M.Salah,MID,1,3,266,cap_0.48,1,0.68,0.48,-0.2,4.89,3.658,90.0,0,16.0
2024-25,FAIL,19,left,36,Digne,DEF,0,0,301,none,0,0.72,0.72,0.0,2.8228,2.8228,82.0,0,1.0
2024-25,FAIL,19,entered,350,Gvardiol,DEF,0,0,360,none,0,0.72,0.72,0.0,2.972,2.972,90.0,0,6.0
2024-25,FAIL,19,entered,351,Haaland,FWD,0,0,360,none,0,0.72,0.72,0.0,4.1576,4.1576,90.0,0,8.0
2024-25,FAIL,24,left,321,Gakpo,FWD,1,1,328,hot_skip,0,0.72,0.72,0.0,6.558,6.558,137.0,0,7.0
2024-25,FAIL,24,left,398,Gordon,MID,0,0,331,none,0,0.72,0.72,0.0,4.15,4.15,90.0,0,1.0
2024-25,FAIL,24,left,238,Young,DEF,1,3,204,cap_0.48,1,0.68,0.48,-0.2,4.8176,3.584,18.0,0,2.0
2024-25,FAIL,24,entered,232,Ndiaye,FWD,1,1,337,hot_skip,0,0.72,0.72,0.0,5.0532,5.0532,114.0,0,9.0
2024-25,FAIL,24,entered,580,Huijsen,DEF,1,4,360,hot_skip,0,0.72,0.72,0.0,2.9768,2.9768,90.0,0,0.0
2024-25,FAIL,24,entered,327,Luis Díaz,MID,1,3,282,hot_skip,0,0.72,0.72,0.0,6.8536,6.8536,177.0,0,5.0
2024-25,FAIL,30,left,58,Watkins,FWD,0,0,233,none,0,0.82,0.82,0.0,4.2324,4.2324,25.0,0,0.0
2024-25,FAIL,30,left,182,Palmer,MID,1,3,252,cap_0.48,1,0.82,0.48,-0.34,5.7624,3.5172,90.0,0,6.0
2024-25,FAIL,30,left,311,Alexander-Arnold,DEF,1,1,254,cap_0.68,1,0.82,0.68,-0.14,3.7988,3.184,0.0,1,0.0
2024-25,FAIL,30,entered,99,Mbeumo,MID,0,0,360,none,0,0.82,0.82,0.0,4.188,4.188,90.0,0,8.0
